secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1657.4,-105.26990725,40.01054492,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,0,7e-05,0,0,0,1657.2,-105.26990884,40.01054433,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,0,0,7e-05,0,0,0,1657.2,-105.26990859,40.01054483,0,0,22,0,-255,0,0,0,0,0,0,0,0
4,0,0,7e-05,0,0,0,1657,-105.26990859,40.01054517,0,0,22,0,-255,0,0,0,0,0,0,0,0
5,0,0,7e-05,0,0,0,1657,-105.26990893,40.01054710,0,0,22,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.00024,0,0,0,1657.2,-105.26990867,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.0003,0,0,0,1657.2,-105.26990918,40.01054500,0,0,22,0,-255,0,0,0,0,0,0,0,0
8,0,0,0.00041,0,0,0,1657,-105.26990960,40.01054400,0,0,22,0,-255,0,0,0,0,0,0,0,0
9,0,0,0.00041,0,0,0,1657.2,-105.26990909,40.01054517,0,0,22,0,-255,0,0,0,0,0,0,0,0
10,0,0,0.00052,0,0,0,1657.2,-105.26990960,40.01054416,0,0,22,0,-255,0,0,0,0,0,0,0,0
11,0,0,0.00052,0,0,0,1657.2,-105.26990935,40.01054483,0,0,22,0,-255,0,0,0,0,0,0,0,0
12,0,0,0.00064,0,0,0,1657.2,-105.26990817,40.01054374,0,0,22,0,-255,0,0,0,0,0,0,0,0
13,0,0,0.00066,0,0,0,1657.2,-105.26990809,40.01054358,0,0,22,0,-255,0,0,0,0,0,0,0,0
14,0,0,0.00072,0,0,0,1657.2,-105.26990599,40.01054307,0,0,22,0,-255,0,0,0,0,0,0,0,0
15,0,0,0.00076,0,0,0,1657.2,-105.26990532,40.01054266,0,0,22,0,-255,0,0,0,0,0,0,0,0
16,0,0,0.00081,0,0,0,1657.2,-105.26990432,40.01054224,0,0,22,0,-255,0,0,0,0,0,0,0,0
17,2,0,0.00081,0,0,0,1657.2,-105.26990289,40.01054299,0,0,22,0,-255,0,0,0,0,0,0,0,0
18,2,0,0.00081,0,0,0,1657.2,-105.26990046,40.01054358,0,0,22,0,-255,0,0,0,0,0,0,0,0
19,0,0,0.00081,0,0,0,1657.2,-105.26990096,40.01054433,0,0,22,0,-255,0,0,0,0,0,0,0,0
20,0,0,0.00081,0,0,0,1657.2,-105.26990029,40.01054467,0,0,22,0,-255,0,0,0,0,0,0,0,0
21,0,0,0.00084,0,0,0,1657.2,-105.26990046,40.01054442,0,0,22,0,-255,0,0,0,0,0,0,0,0
22,0,0,0.00084,0,0,0,1657.2,-105.26990013,40.01054475,0,0,22,0,-255,0,0,0,0,0,0,0,0
23,0,0,0.00084,0,0,0,1657.2,-105.26989996,40.01054500,0,0,22,0,-255,0,0,0,0,0,0,0,0
24,0,0,0.00084,0,0,0,1657.2,-105.26989979,40.01054525,0,0,22,0,-255,0,0,0,0,0,0,0,0
25,0,0,0.00084,0,0,0,1657.2,-105.26989962,40.01054534,0,0,22,0,-255,0,0,0,0,0,0,0,0
26,0,0,0.00084,0,0,0,1657.2,-105.26989954,40.01054534,0,0,22,0,-255,0,0,0,0,0,0,0,0
27,0,0,0.00084,0,0,0,1657.2,-105.26989920,40.01054542,0,0,22,0,-255,0,0,0,0,0,0,0,0
28,0,0,0.00084,0,0,0,1657.2,-105.26989887,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
29,0,0,0.00084,0,0,0,1657.2,-105.26989862,40.01054559,0,0,22,0,-255,0,0,0,0,0,0,0,0
30,0,0,0.00084,0,0,0,1657.4,-105.26989845,40.01054559,0,0,22,0,-255,0,0,0,0,0,0,0,0
31,0,0,0.00084,0,0,0,1657.4,-105.26989836,40.01054567,0,0,22,0,-255,0,0,0,0,0,0,0,0
32,0,0,0.00085,0,0,0,1657.4,-105.26989820,40.01054559,0,0,22,0,-255,0,0,0,0,0,0,0,0
33,0,0,0.00085,0,0,0,1657.4,-105.26989795,40.01054567,0,0,22,0,-255,0,0,0,0,0,0,0,0
34,4,0,0.00085,0,0,0,1657.4,-105.26989761,40.01054559,0,0,22,0,-255,0,0,0,0,0,0,0,0
35,4,0,0.00086,0,0,0,1657.4,-105.26989728,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
36,0,0,0.00087,0,0,0,1657.4,-105.26989719,40.01054542,0,0,22,0,-255,0,0,0,0,0,0,0,0
37,0,0,0.00087,0,0,0,1657.4,-105.26989719,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
38,0,0,0.00087,0,0,0,1657.4,-105.26989711,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
39,0,0,0.00087,0,0,0,1657.4,-105.26989711,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
40,0,0,0.00087,0,0,0,1657.4,-105.26989719,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
41,0,0,0.00087,0,0,0,1657.4,-105.26989719,40.01054551,0,0,22,0,-255,0,0,0,0,0,0,0,0
42,0,0,0.00087,0,0,0,1657.4,-105.26989728,40.01054559,0,0,22,0,-255,0,0,0,0,0,0,0,0
43,0,0,0.00087,0,0,0,1657.4,-105.26989719,40.01054567,0,0,22,0,-255,0,0,0,0,0,0,0,0
44,0,0,0.00087,0,0,0,1657.4,-105.26989711,40.01054567,0,0,22,0,-255,0,0,0,0,0,0,0,0
