secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1643.6,-105.26981949,40.01065573,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,3e-05,0,0,0,1643.4,-105.26986241,40.01067467,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,0,0,3e-05,0,0,0,1643.4,-105.26989308,40.01067149,0,0,21,0,-255,0,0,0,0,0,0,0,0
11,0,0,3e-05,0,0,0,1643.6,-105.26990163,40.01066855,0,0,21,0,-255,0,0,0,0,0,0,0,0
12,0,0,3e-05,0,0,0,1643.6,-105.26990809,40.01065941,0,0,21,0,-255,0,0,0,0,0,0,0,0
13,0,0,3e-05,0,0,0,1643.6,-105.26990918,40.01065556,0,0,21,0,-255,0,0,0,0,0,0,0,0
14,0,0,3e-05,0,0,0,1643.6,-105.26990767,40.01065489,0,0,21,0,-255,0,0,0,0,0,0,0,0
15,0,0,3e-05,0,0,0,1643.6,-105.26990230,40.01065129,0,0,21,0,-255,0,0,0,0,0,0,0,0
16,0,0,3e-05,0,0,0,1643.6,-105.26991848,40.01063410,0,0,21,0,-255,0,0,0,0,0,0,0,0
17,0,0,9e-05,0,0,0,1643.6,-105.26991890,40.01063494,0,0,21,0,-255,0,0,0,0,0,0,0,0
18,0,0,0.00028,0,0,0,1643.6,-105.26991630,40.01063569,0,0,21,0,-255,0,0,0,0,0,0,0,0
19,0,0,0.00054,0,0,0,1643.6,-105.26991278,40.01063687,0,0,21,0,-255,0,0,0,0,0,0,0,0
20,0,0,0.00108,0,0,0,1643.6,-105.26990893,40.01064081,0,0,21,0,-255,0,0,0,0,0,0,0,0
21,0,0,0.00223,0,0,0,1643.6,-105.26990918,40.01065279,0,0,21,0,-255,0,0,0,0,0,0,0,0
22,0,0,0.00291,0,0,0,1643.6,-105.26990851,40.01065958,0,0,21,0,-255,0,0,0,0,0,0,0,0
23,0,0,0.0033,0,0,0,1643.6,-105.26990759,40.01066319,0,0,22,0,-255,0,0,0,0,0,0,0,0
24,0,0,0.0037,0,0,0,1643.6,-105.26990499,40.01066620,0,0,22,0,-255,0,0,0,0,0,0,0,0
25,0,0,0.00391,0,0,0,1643.4,-105.26990230,40.01066721,0,0,22,0,-255,0,0,0,0,0,0,0,0
26,0,0,0.00391,0,0,0,1643.4,-105.26993005,40.01066545,0,0,22,0,-255,0,0,0,0,0,0,0,0
27,0,0,0.00391,0,0,0,1643.4,-105.26993315,40.01066520,0,0,22,0,-255,0,0,0,0,0,0,0,0
28,0,0,0.00448,0,0,0,1643.4,-105.26992410,40.01066713,0,0,22,0,-255,0,0,0,0,0,0,0,0
29,0,0,0.00452,0,0,0,1643.4,-105.26992318,40.01066721,0,0,22,0,-255,0,0,0,0,0,0,0,0
30,0,0,0.00452,0,0,0,1643.4,-105.26991991,40.01066579,0,0,22,0,-255,0,0,0,0,0,0,0,0
31,0,0,0.00452,0,0,0,1643.4,-105.26991932,40.01066503,0,0,22,0,-255,0,0,0,0,0,0,0,0
32,0,0,0.00452,0,0,0,1643.4,-105.26991898,40.01066294,0,0,22,0,-255,0,0,0,0,0,0,0,0
33,0,0,0.00452,0,0,0,1643.4,-105.26991789,40.01066151,0,0,22,0,-255,0,0,0,0,0,0,0,0
34,0,0,0.00466,0,0,0,1643.6,-105.26991848,40.01066319,0,0,22,0,-255,0,0,0,0,0,0,0,0
35,0,0,0.00466,0,0,0,1643.6,-105.26991907,40.01066319,0,0,22,0,-255,0,0,0,0,0,0,0,0
36,0,0,0.00466,0,0,0,1643.6,-105.26991898,40.01066310,0,0,22,0,-255,0,0,0,0,0,0,0,0
37,0,0,0.00482,0,0,0,1643.6,-105.26992007,40.01066520,0,0,22,0,-255,0,0,0,0,0,0,0,0
38,0,0,0.00489,0,0,0,1643.6,-105.26992074,40.01066620,0,0,22,0,-255,0,0,0,0,0,0,0,0
39,0,0,0.00489,0,0,0,1643.6,-105.26992418,40.01066537,0,0,22,0,-255,0,0,0,0,0,0,0,0
40,0,0,0.00489,0,0,0,1643.6,-105.26992619,40.01066620,0,0,22,0,-255,0,0,0,0,0,0,0,0
41,0,0,0.0049,0,0,0,1643.6,-105.26992527,40.01066595,0,0,22,0,-255,0,0,0,0,0,0,0,0
42,0,0,0.00496,0,0,0,1643.6,-105.26992435,40.01066612,0,0,22,0,-255,0,0,0,0,0,0,0,0
43,0,0,0.005,0,0,0,1643.6,-105.26992359,40.01066620,0,0,22,0,-255,0,0,0,0,0,0,0,0
44,0,0,0.00504,0,0,0,1643.6,-105.26992368,40.01066671,0,0,22,0,-255,0,0,0,0,0,0,0,0
45,0,0,0.00504,0,0,0,1643.6,-105.26992418,40.01066595,0,0,22,0,-255,0,0,0,0,0,0,0,0
46,0,0,0.00504,0,0,0,1643.6,-105.26992418,40.01066587,0,0,22,0,-255,0,0,0,0,0,0,0,0
47,0,0,0.00504,0,0,0,1643.6,-105.26992410,40.01066553,0,0,22,0,-255,0,0,0,0,0,0,0,0
48,0,0,0.00504,0,0,0,1643.6,-105.26992452,40.01066461,0,0,22,0,-255,0,0,0,0,0,0,0,0
49,0,0,0.00504,0,0,0,1643.6,-105.26992049,40.01066260,0,0,22,0,-255,0,0,0,0,0,0,0,0
50,0,0,0.00504,0,0,0,1643.6,-105.26991672,40.01065774,0,0,22,0,-255,0,0,0,0,0,0,0,0
51,0,0,0.00504,0,0,0,1643.6,-105.26991421,40.01065447,0,0,22,0,-255,0,0,0,0,0,0,0,0
52,0,0,0.00504,0,0,0,1643.8,-105.26991437,40.01065363,0,0,22,0,-255,0,0,0,0,0,0,0,0
53,0,0,0.00504,0,0,0,1643.8,-105.26991597,40.01065204,0,0,22,0,-255,0,0,0,0,0,0,0,0
54,24,0,0.00504,0,0,0,1643.8,-105.26991647,40.01065145,0,0,22,0,-255,0,0,0,0,0,0,0,0
55,24,0,0.00504,0,0,0,1643.8,-105.26991622,40.01065120,0,0,22,0,-255,0,0,0,0,0,0,0,0
56,0,0,0.00504,0,0,0,1643.8,-105.26991513,40.01065070,0,0,22,0,-255,0,0,0,0,0,0,0,0
57,25,0,0.00504,0,0,0,1643.8,-105.26991538,40.01064952,0,0,22,0,-255,0,0,0,0,0,0,0,0
58,47,0,0.00504,0,0,92,1643.8,-105.26991337,40.01064735,0,0,22,0,-255,0,0,0,0,0,0,0,0
59,52,0,0.00504,0,0,98,1643.8,-105.26991312,40.01064626,0,0,22,0,-255,0,0,0,0,0,0,0,0
60,69,0,0.00504,0,0,111,1643.8,-105.26991295,40.01064550,0,0,22,0,-255,0,0,0,0,0,0,0,0
61,77,0,0.00504,0,0,169,1643.6,-105.26991320,40.01064424,0,0,22,0,-255,0,0,0,0,0,0,0,0
62,79,0,0.00504,0,0,167,1643.6,-105.26991337,40.01064307,0,0,22,0,-255,0,0,0,0,0,0,0,0
63,77,0,0.00504,0,0,183,1643.6,-105.26991362,40.01064173,0,0,22,0,-255,0,0,0,0,0,0,0,0
64,77,0,0.00504,0,0,166,1643.6,-105.26991530,40.01064114,0,0,22,0,-255,0,0,0,0,0,0,0,0
65,76,0,0.00508,0,0,197,1643.6,-105.26991479,40.01064131,0,0,22,0,-255,0,0,0,0,0,0,0,0
66,76,0,0.00508,0,0,173,1643.6,-105.26991513,40.01064139,0,0,22,0,-255,0,0,0,0,0,0,0,0
67,75,0,0.00508,0,0,187,1643.8,-105.26991588,40.01064106,0,0,22,0,-255,0,0,0,0,0,0,0,0
68,77,0,0.00511,0,0,160,1643.8,-105.26991588,40.01064139,0,0,22,0,-255,0,0,0,0,0,0,0,0
69,76,0,0.00511,0,0,189,1643.8,-105.26991605,40.01064072,0,0,22,0,-255,0,0,0,0,0,0,0,0
70,77,0,0.00511,0,0,180,1643.6,-105.26991622,40.01064072,0,0,22,0,-255,0,0,0,0,0,0,0,0
